小区名,价格/万,地区,0,房屋户型,1,所在楼层,2,建筑面积,3,户型结构,4,套内面积,5,建筑类型,6,房屋朝向,7,建筑结构,8,装修情况,9,梯户比例,10,配备电梯,,,,,,,,,,,,,
春泽名园,93.8,['香洲区'],,2室1厅1厨1卫,,高楼层(共11层),,46.06㎡,,平层,,暂无数据,,板塔结合,,北,,钢混结构,,精装,,一梯十户,,有,,,,,,,,,,,,,
中珠九悦,490,['香洲区'],,4室2厅1厨2卫,,高楼层(共26层),,142㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,精装,,两梯三户,,有,,,,,,,,,,,,,
田德花园A区,180,['香洲区'],,3室2厅1厨2卫,,高楼层(共7层),,115.12㎡,,复式,,103.48㎡,,板楼,,东,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
石榴园,100,['香洲区'],,2室2厅1厨1卫,,中楼层(共7层),,73.33㎡,,平层,,66.83㎡,,板楼,,南,,钢混结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
海湾花园,220,['香洲区'],,3室1厅1厨1卫,,高楼层(共28层),,112.36㎡,,平层,,暂无数据,,板塔结合,,西南,,钢混结构,,其他,,三梯八户,,有,,,,,,,,,,,,,
安居园北区,110,['香洲区'],,2室2厅1厨1卫,,高楼层(共7层),,63.65㎡,,平层,,暂无数据,,塔楼,,西,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
华发山庄,515,['香洲区'],,4室2厅1厨2卫,,高楼层(共12层),,168㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,毛坯,,一梯两户,,有,,,,,,,,,,,,,
北园新村一期,107,['香洲区'],,2室2厅1厨1卫,,中楼层(共6层),,65㎡,,平层,,暂无数据,,塔楼,,东南,,混合结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
春晖花园,243,['香洲区'],,3室2厅1厨1卫,,低楼层(共7层),,85.5㎡,,暂无数据,,暂无数据,,塔楼,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
华发峰尚,85,['斗门区'],,3室2厅1厨2卫,,中楼层(共34层),,90.28㎡,,平层,,73.28㎡,,板楼,,南,,钢混结构,,毛坯,,两梯六户,,有,,,,,,,,,,,,,
仁恒滨海半岛四期,200,['高新区'],,2室2厅1厨1卫,,中楼层(共32层),,76.87㎡,,平层,,58.75㎡,,板塔结合,,南,,砖木结构,,精装,,三梯六户,,有,,,,,,,,,,,,,
浩益花园,120,['香洲区'],,3室2厅1厨1卫,,高楼层(共7层),,79.73㎡,,平层,,68.02㎡,,板楼,,南,,钢混结构,,其他,,暂无数据,,暂无数据,,,,,,,,,,,,,
龙光玖誉湾,215,['金湾区'],,4室2厅1厨2卫,,高楼层(共38层),,107.34㎡,,平层,,83.98㎡,,板塔结合,,东南,,钢混结构,,精装,,两梯五户,,有,,,,,,,,,,,,,
奥园香海美景,36,['斗门区'],,1室1厅1厨1卫,,高楼层(共17层),,32.37㎡,,平层,,22.83㎡,,板塔结合,,北,,钢混结构,,精装,,三梯二十户,,有,,,,,,,,,,,,,
海怡湾畔,315,['高新区'],,4室2厅1厨3卫,,中楼层(共5层),,205.06㎡,,复式,,182.18㎡,,板塔结合,,东南,,钢结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
拱运宿舍,115,['香洲区'],,3室1厅1厨1卫,,低楼层(共6层),,75.28㎡,,平层,,68.28㎡,,暂无数据,,东,,混合结构,,其他,,暂无数据,,无,,,,,,,,,,,,,
中珠九悦,490,['香洲区'],,4室2厅1厨2卫,,高楼层(共26层),,142㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,精装,,两梯三户,,有,,,,,,,,,,,,,
田德花园A区,180,['香洲区'],,3室2厅1厨2卫,,高楼层(共7层),,115.12㎡,,复式,,103.48㎡,,板楼,,东,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
石榴园,100,['香洲区'],,2室2厅1厨1卫,,中楼层(共7层),,73.33㎡,,平层,,66.83㎡,,板楼,,南,,钢混结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
安居园北区,110,['香洲区'],,2室2厅1厨1卫,,高楼层(共7层),,63.65㎡,,平层,,暂无数据,,塔楼,,西,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
华发山庄,515,['香洲区'],,4室2厅1厨2卫,,高楼层(共12层),,168㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,毛坯,,一梯两户,,有,,,,,,,,,,,,,
春晖花园,243,['香洲区'],,3室2厅1厨1卫,,低楼层(共7层),,85.5㎡,,暂无数据,,暂无数据,,塔楼,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
华发峰尚,85,['斗门区'],,3室2厅1厨2卫,,中楼层(共34层),,90.28㎡,,平层,,73.28㎡,,板楼,,南,,钢混结构,,毛坯,,两梯六户,,有,,,,,,,,,,,,,
御景国际,275,['香洲区'],,3室2厅1厨1卫,,中楼层(共31层),,90.06㎡,,平层,,68.92㎡,,塔楼,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
园林花园,418,['香洲区'],,4室2厅1厨2卫,,中楼层(共12层),,138.33㎡,,平层,,120.68㎡,,塔楼,,南北,,钢混结构,,其他,,八梯三户,,有,,,,,,,,,,,,,
新景雅苑,330,['香洲区'],,4室2厅1厨2卫,,低楼层(共10层),,141.95㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
德昌盛景花园,108,['斗门区'],,3室2厅1厨2卫,,高楼层(共19层),,97.5㎡,,平层,,暂无数据,,板塔结合,,南东北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
钰海上峰,255,['香洲区'],,3室2厅1厨2卫,,低楼层(共29层),,92.61㎡,,平层,,暂无数据,,塔楼,,北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
华发水岸二期,109,['香洲区'],,2室1厅1厨1卫,,中楼层(共32层),,66.96㎡,,平层,,52.16㎡,,塔楼,,东南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
翰林金寓,24,['金湾区'],,1室1厅1厨1卫,,高楼层(共11层),,35㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,简装,,两梯十户,,有,,,,,,,,,,,,,
时代廊桥,165,['香洲区'],,3室2厅1厨2卫,,中楼层(共16层),,75.56㎡,,平层,,56.49㎡,,塔楼,,东南,,钢混结构,,精装,,两梯五户,,有,,,,,,,,,,,,,
美景花园,130,['香洲区'],,3室2厅1厨2卫,,高楼层(共7层),,110.6㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
华发国际花园,295,['香洲区'],,3室2厅1厨2卫,,高楼层(共17层),,111.66㎡,,平层,,96.29㎡,,板楼,,南北,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
格力广场三期,360,['香洲区'],,3室2厅1厨2卫,,中楼层(共50层),,122.51㎡,,平层,,98.66㎡,,塔楼,,南,,钢混结构,,精装,,三梯六户,,有,,,,,,,,,,,,,
龙光玖龙府,190,['金湾区'],,4室2厅1厨2卫,,中楼层(共33层),,116.61㎡,,平层,,95.6㎡,,板塔结合,,南北,,钢混结构,,毛坯,,两梯五户,,有,,,,,,,,,,,,,
鸿港半山壹号,69,['金湾区'],,3室2厅1厨1卫,,低楼层(共12层),,91㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
金海华府,95,['金湾区'],,3室2厅1厨2卫,,高楼层(共28层),,95.14㎡,,平层,,73.87㎡,,板楼,,南北,,钢混结构,,精装,,两梯三户,,有,,,,,,,,,,,,,
华发世纪城四期,290,['香洲区'],,3室2厅1厨2卫,,高楼层(共31层),,122.83㎡,,平层,,暂无数据,,板塔结合,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
恒裕江山汇花园,145,['斗门区'],,4室2厅1厨2卫,,高楼层(共26层),,110.51㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
中信红树湾北区,275,['香洲区'],,4室2厅1厨2卫,,中楼层(共32层),,98㎡,,复式,,70.35㎡,,板楼,,西南,,钢混结构,,精装,,三梯十三户,,有,,,,,,,,,,,,,
中经花园,112,['香洲区'],,2室2厅1厨1卫,,中楼层(共7层),,73.63㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
海湾德馨苑,215,['香洲区'],,3室2厅1厨2卫,,中楼层(共7层),,100.67㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
万科翡翠中央.翡玲苑,219,['高新区'],,4室2厅1厨2卫,,低楼层(共17层),,108.93㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,其他,,暂无数据,,暂无数据,,,,,,,,,,,,,
财富世家公园里,380,['香洲区'],,4室2厅1厨2卫,,高楼层(共31层),,134.59㎡,,平层,,暂无数据,,板塔结合,,南北,,框架结构,,其他,,两梯三户,,有,,,,,,,,,,,,,
东方润园,96,['金湾区'],,3室2厅1厨1卫,,低楼层(共18层),,84㎡,,平层,,69.03㎡,,板塔结合,,西南,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
中珠上郡二三期,70,['金湾区'],,2室1厅1厨1卫,,高楼层(共18层),,70.58㎡,,平层,,暂无数据,,板塔结合,,东南,,钢混结构,,其他,,两梯五户,,有,,,,,,,,,,,,,
时代倾城三期,124,['斗门区'],,3室2厅1厨2卫,,低楼层(共27层),,121.07㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,两梯三户,,有,,,,,,,,,,,,,
棕榈四季,210,['香洲区'],,3室2厅1厨2卫,,低楼层(共18层),,90.93㎡,,平层,,暂无数据,,塔楼,,北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
海怡湾畔,149,['高新区'],,2室1厅1厨1卫,,中楼层(共31层),,88.96㎡,,平层,,72.61㎡,,板塔结合,,东南,,钢混结构,,精装,,三梯八户,,有,,,,,,,,,,,,,
田德花园A区,193,['香洲区'],,3室2厅1厨2卫,,中楼层(共11层),,107㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,精装,,一梯四户,,有,,,,,,,,,,,,,
绿景喜悦荟,398,['香洲区'],,4室2厅1厨2卫,,中楼层(共32层),,124.89㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
京华假日湾C区,133,['金湾区'],,4室2厅1厨2卫,,高楼层(共29层),,131.7㎡,,平层,,暂无数据,,暂无数据,,北,,钢混结构,,毛坯,,暂无数据,,暂无数据,,,,,,,,,,,,,
西湖怡景园二期,83,['金湾区'],,2室2厅1厨1卫,,高楼层(共17层),,71.3㎡,,平层,,暂无数据,,板楼,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
莲花山小区,125,['香洲区'],,3室2厅1厨1卫,,高楼层(共7层),,86.41㎡,,平层,,79.41㎡,,板塔结合,,北,,钢混结构,,简装,,暂无数据,,无,,,,,,,,,,,,,
中海名钻花园,405,['横琴区'],,3室2厅1厨1卫,,中楼层(共30层),,96.28㎡,,平层,,暂无数据,,板塔结合,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
时代山湖海,123,['金湾区'],,2室2厅1厨1卫,,高楼层(共6层),,82.49㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
恒裕江山汇花园,102,['斗门区'],,3室2厅1厨1卫,,高楼层(共25层),,85.8㎡,,平层,,66.68㎡,,板塔结合,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
珠光新城一期,92,['斗门区'],,3室2厅1厨1卫,,中楼层(共11层),,92.15㎡,,平层,,暂无数据,,板楼,,西北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
御景国际,380,['香洲区'],,4室2厅1厨2卫,,高楼层(共32层),,135.97㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,精装,,十二梯三户,,有,,,,,,,,,,,,,
华发世纪城二期,390,['香洲区'],,3室2厅1厨2卫,,中楼层(共31层),,139㎡,,平层,,暂无数据,,塔楼,,东北,,钢混结构,,精装,,两梯三户,,有,,,,,,,,,,,,,
珠海新世界海滨花园,85,['金湾区'],,3室2厅1厨2卫,,低楼层(共7层),,91.13㎡,,平层,,81.55㎡,,板塔结合,,东南南,,框架结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
正邦岭秀城,157,['香洲区'],,2室1厅1厨1卫,,中楼层(共29层),,61.03㎡,,平层,,46.41㎡,,塔楼,,北,,钢混结构,,简装,,三梯十六户,,有,,,,,,,,,,,,,
文苑小区,70,['金湾区'],,3室1厅1厨1卫,,中楼层(共6层),,89.14㎡,,平层,,78.78㎡,,板塔结合,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
翰林金寓,25,['金湾区'],,1室1厅1厨1卫,,高楼层(共17层),,35.83㎡,,平层,,25.05㎡,,板楼,,南,,钢混结构,,精装,,两梯十户,,有,,,,,,,,,,,,,
万科魅力之城二期,92,['斗门区'],,4室2厅1厨2卫,,中楼层(共27层),,96㎡,,平层,,77.82㎡,,板塔结合,,南,,钢混结构,,精装,,两梯五户,,有,,,,,,,,,,,,,
远大美域新城,158,['高新区'],,2室2厅1厨1卫,,中楼层(共11层),,81.32㎡,,平层,,暂无数据,,板塔结合,,东南,,钢混结构,,精装,,一梯四户,,有,,,,,,,,,,,,,
海湾花园,230,['香洲区'],,3室2厅1厨2卫,,低楼层(共28层),,133.83㎡,,平层,,暂无数据,,板塔结合,,南,,砖混结构,,精装,,三梯八户,,有,,,,,,,,,,,,,
西海岸花园,56,['金湾区'],,2室2厅1厨1卫,,低楼层(共18层),,75.13㎡,,平层,,63.03㎡,,暂无数据,,南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
金地花园,340,['香洲区'],,3室2厅1厨2卫,,中楼层(共18层),,143.99㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,其他,,两梯两户,,有,,,,,,,,,,,,,
诚丰新园,82,['斗门区'],,3室2厅1厨1卫,,高楼层(共18层),,90.13㎡,,平层,,72.89㎡,,板楼,,东北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
心海州,150,['香洲区'],,3室2厅1厨1卫,,中楼层(共30层),,77.26㎡,,平层,,暂无数据,,板塔结合,,东南,,钢混结构,,精装,,三梯六户,,有,,,,,,,,,,,,,
湖星水岸一期,38,['斗门区'],,1室1厅1厨1卫,,高楼层(共7层),,50㎡,,平层,,暂无数据,,板楼,,西南,,钢混结构,,毛坯,,暂无数据,,无,,,,,,,,,,,,,
翰林金寓,25,['金湾区'],,1室1厅1厨1卫,,中楼层(共17层),,35.26㎡,,平层,,暂无数据,,板楼,,北,,钢混结构,,精装,,两梯十户,,有,,,,,,,,,,,,,
南厦丰泽园,122,['香洲区'],,2室1厅1厨1卫,,高楼层(共6层),,66.22㎡,,平层,,58.77㎡,,板塔结合,,东南南,,钢混结构,,简装,,一梯六户,,有,,,,,,,,,,,,,
海湾花园,170,['香洲区'],,2室2厅1厨1卫,,高楼层(共16层),,94.35㎡,,平层,,80㎡,,板塔结合,,东北,,砖混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
华发城建四季半岛水晶湾,188,['香洲区'],,2室2厅1厨1卫,,高楼层(共33层),,74㎡,,平层,,暂无数据,,塔楼,,东北,,钢混结构,,毛坯,,两梯六户,,有,,,,,,,,,,,,,
恒翠嘉园,59,['金湾区'],,3室1厅1厨2卫,,高楼层(共9层),,89.69㎡,,平层,,暂无数据,,板塔结合,,东南,,框架结构,,其他,,暂无数据,,暂无数据,,,,,,,,,,,,,
西海岸花园,66,['金湾区'],,4室1厅1厨2卫,,高楼层(共18层),,99.9㎡,,平层,,83.81㎡,,暂无数据,,北,,钢混结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
凤鸣花园,70,['金湾区'],,3室2厅1厨2卫,,中楼层(共8层),,99.01㎡,,平层,,暂无数据,,塔楼,,北,,框架结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
时代倾城三期,124,['斗门区'],,3室2厅1厨2卫,,低楼层(共27层),,121.06㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,其他,,两梯三户,,有,,,,,,,,,,,,,
金地格林泊乐一期,78,['斗门区'],,3室2厅1厨1卫,,高楼层(共34层),,80.55㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
诚丰广场,195,['香洲区'],,3室2厅1厨2卫,,高楼层(共29层),,92.91㎡,,平层,,70.09㎡,,板楼,,南北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
保利时代,220,['金湾区'],,4室2厅1厨2卫,,中楼层(共33层),,124.2㎡,,平层,,96.08㎡,,板塔结合,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
御枫美筑,250,['香洲区'],,3室2厅1厨2卫,,中楼层(共11层),,109㎡,,平层,,90.87㎡,,板楼,,南北,,钢混结构,,简装,,两梯两户,,有,,,,,,,,,,,,,
龙光玖誉湾,185,['金湾区'],,3室2厅1厨2卫,,中楼层(共32层),,89.72㎡,,平层,,暂无数据,,塔楼,,南北,,钢混结构,,其他,,两梯五户,,有,,,,,,,,,,,,,
桂花村一期,205,['香洲区'],,3室2厅1厨1卫,,中楼层(共25层),,114.44㎡,,平层,,95.49㎡,,板楼,,西南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
格力海岸五期,190,['高新区'],,2室1厅1厨1卫,,低楼层(共31层),,82.5㎡,,平层,,64.34㎡,,板塔结合,,南,,钢混结构,,精装,,两梯八户,,有,,,,,,,,,,,,,
东鑫花园,60,['金湾区'],,3室2厅1厨2卫,,低楼层(共6层),,84.81㎡,,平层,,暂无数据,,塔楼,,东北,,钢混结构,,简装,,暂无数据,,无,,,,,,,,,,,,,
万科城回迁房南区,310,['香洲区'],,5室2厅1厨3卫,,中楼层(共34层),,188.04㎡,,平层,,158.53㎡,,塔楼,,南北,,钢混结构,,精装,,三梯六户,,有,,,,,,,,,,,,,
海愉半岛花园,358,['香洲区'],,4室2厅1厨2卫,,低楼层(共12层),,173.96㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
夏湾新村,86,['香洲区'],,2室1厅1厨1卫,,中楼层(共8层),,58.96㎡,,平层,,暂无数据,,板楼,,东南,,钢混结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
长环新村,150,['香洲区'],,3室2厅1厨1卫,,中楼层(共8层),,90.23㎡,,平层,,90㎡,,板楼,,北,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
中信红树湾南区,512,['香洲区'],,3室1厅1厨2卫,,高楼层(共31层),,155.21㎡,,平层,,106.32㎡,,板楼,,南,,钢混结构,,其他,,两梯两户,,有,,,,,,,,,,,,,
中海左岸岚庭,193,['金湾区'],,3室2厅1厨2卫,,中楼层(共26层),,97.03㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
恒隆华萃园,68,['高新区'],,1室0厅1厨1卫,,低楼层(共8层),,37.05㎡,,平层,,28.4㎡,,板楼,,南,,钢混结构,,精装,,两梯十四户,,有,,,,,,,,,,,,,
华策岭峰国际,69,['斗门区'],,2室2厅1厨1卫,,中楼层(共17层),,83.21㎡,,平层,,暂无数据,,板楼,,东南,,钢混结构,,其他,,两梯四户,,有,,,,,,,,,,,,,
诚丰嘉座,62,['香洲区'],,1室1厅1厨1卫,,高楼层(共23层),,39.53㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,两梯十五户,,有,,,,,,,,,,,,,
麓景湾花园,108,['金湾区'],,3室2厅1厨2卫,,中楼层(共11层),,101.09㎡,,平层,,暂无数据,,板楼,,东西北,,框架结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
金地格林泊乐一期,85,['斗门区'],,3室2厅1厨2卫,,高楼层(共11层),,88.49㎡,,平层,,暂无数据,,板楼,,东南,,钢混结构,,其他,,两梯五户,,有,,,,,,,,,,,,,
华发山庄,508,['香洲区'],,4室2厅1厨2卫,,高楼层(共18层),,172.9㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,毛坯,,两梯两户,,有,,,,,,,,,,,,,
龙光玖誉湾,259,['金湾区'],,4室2厅1厨2卫,,中楼层(共32层),,119㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,简装,,两梯五户,,有,,,,,,,,,,,,,
时代倾城双生花,103,['斗门区'],,3室2厅1厨2卫,,高楼层(共31层),,99㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
时代天韵花园,81,['斗门区'],,3室2厅1厨2卫,,高楼层(共22层),,99.47㎡,,平层,,暂无数据,,板塔结合,,南,,框架结构,,精装,,两梯五户,,有,,,,,,,,,,,,,
海伦堡湖心里,110,['斗门区'],,3室1厅1厨2卫,,中楼层(共26层),,107.8㎡,,平层,,88.59㎡,,板塔结合,,东南,,钢混结构,,毛坯,,两梯六户,,有,,,,,,,,,,,,,
锦绣荣城,62,['斗门区'],,2室2厅1厨1卫,,低楼层(共11层),,80㎡,,平层,,暂无数据,,板塔结合,,西北,,钢混结构,,毛坯,,两梯四户,,有,,,,,,,,,,,,,
时代山湖海6期,132,['金湾区'],,3室2厅1厨1卫,,中楼层(共31层),,93.15㎡,,平层,,72.15㎡,,板塔结合,,西南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
海湾花园,245,['香洲区'],,3室2厅1厨2卫,,高楼层(共28层),,133.83㎡,,平层,,暂无数据,,板塔结合,,南,,砖混结构,,精装,,三梯八户,,有,,,,,,,,,,,,,
华发峰尚,87,['斗门区'],,3室2厅1厨2卫,,高楼层(共34层),,94.36㎡,,平层,,暂无数据,,板楼,,东南,,钢混结构,,毛坯,,两梯六户,,有,,,,,,,,,,,,,
平沙九号花园一期,90,['金湾区'],,3室2厅1厨1卫,,低楼层(共35层),,86.89㎡,,平层,,67.96㎡,,板楼,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
华发峰景名苑,279,['香洲区'],,3室2厅1厨1卫,,高楼层(共30层),,88.94㎡,,平层,,67.85㎡,,塔楼,,东南,,钢混结构,,其他,,两梯三户,,有,,,,,,,,,,,,,
御东领岸,245,['香洲区'],,3室2厅1厨2卫,,低楼层(共18层),,92.35㎡,,平层,,66.62㎡,,板塔结合,,南北,,钢混结构,,精装,,两梯两户,,有,,,,,,,,,,,,,
忠信丽苑,78,['斗门区'],,3室2厅1厨2卫,,中楼层(共11层),,100.19㎡,,平层,,暂无数据,,板塔结合,,南,,框架结构,,简装,,两梯三户,,有,,,,,,,,,,,,,
中海滨河湾,330,['香洲区'],,3室2厅1厨2卫,,低楼层(共37层),,121.53㎡,,平层,,暂无数据,,板塔结合,,东,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
中航花园,168,['金湾区'],,3室2厅1厨1卫,,中楼层(共17层),,92.88㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,其他,,暂无数据,,暂无数据,,,,,,,,,,,,,
金地格林泊乐花园三期,80,['斗门区'],,3室2厅1厨1卫,,中楼层(共32层),,77.7㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
万科魅力之城二期,106,['斗门区'],,4室2厅1厨2卫,,高楼层(共18层),,97.75㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
怡海大厦,225,['香洲区'],,4室2厅1厨2卫,,高楼层(共25层),,138.84㎡,,平层,,暂无数据,,板楼,,南东北,,钢混结构,,简装,,两梯五户,,有,,,,,,,,,,,,,
世荣名筑,88,['斗门区'],,2室2厅1厨1卫,,低楼层(共18层),,85㎡,,平层,,暂无数据,,板楼,,西北,,钢混结构,,精装,,两梯五户,,有,,,,,,,,,,,,,
海怡湾畔,168,['高新区'],,2室2厅1厨1卫,,高楼层(共9层),,80.97㎡,,平层,,70.5㎡,,板塔结合,,南,,钢混结构,,其他,,一梯四户,,有,,,,,,,,,,,,,
万科魅力之城一期,92,['斗门区'],,4室2厅1厨2卫,,高楼层(共30层),,94.98㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,两梯五户,,有,,,,,,,,,,,,,
龙湖原著台,350,['金湾区'],,4室2厅1厨2卫,,中楼层(共17层),,131.31㎡,,平层,,暂无数据,,塔楼,,南,,框架结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
春泽名园,138,['香洲区'],,2室2厅1厨1卫,,低楼层(共11层),,66.11㎡,,平层,,52.89㎡,,板塔结合,,北,,钢混结构,,精装,,一梯十户,,有,,,,,,,,,,,,,
星华花园,125,['香洲区'],,2室2厅1厨1卫,,高楼层(共7层),,75.84㎡,,平层,,70㎡,,板塔结合,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
